rank,dist_lgd,district,state_lgd,state_ut,sub_dist,subdis_lg,subdis_ty,vill_cat,vill_lgd,vill_name,src_state,src_file,objectid,ntl_2021,ntl_latest,ntl_abs_growth,ntl_abs_growth_clean,ntl_pct_growth_clean,shp_area,shp_leng
80,463.0,SINGRAULI,23.0,MADHYA PRADESH,MADA,6825.0,TAHSIL,Rural,503898.0,SEMUA,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,10030.0,2.345693196,14.4633736,12.11768041,12.11768041,516.5927252,717156.8011,5012.653143
81,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SHIVPUR,7444.0,TAHSIL,Rural,487149.0,Faridpur,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36640.0,0.487385989,2.992692772,2.505306783,2.505306783,514.0292986,4949609.163,9360.750985
82,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487243.0,Bandi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36553.0,0.42746001,2.622237729,2.194777719,2.194777719,513.4463267,2874899.649,10295.29335
83,41.0,LUDHIANA,3.0,PUNJAB,LUDHIANA EAST,227.0,TEHSIL,RURAL,33462.0,KHASI KHURD,PUNJAB,PUNJAB\PUNJAB.shp,1673.0,1.737661563,10.64469398,8.907032415,8.907032415,512.5872958,491566.1595,3397.227179
84,371.0,JHARSUGUDA,21.0,ODISHA,LAKHANPUR,6440.0,Tehsil,Rural,381067.0,BARAPALI,ODISHA,ODISHA\ODISHA.shp,69459.0,0.784153928,4.801074298,4.01692037,4.01692037,512.2617166,3389670.387,8437.563177
85,457.0,BALAGHAT,23.0,MADHYA PRADESH,WARASEONI,3669.0,TAHSIL,Rural,497394.0,Khandwa,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,56920.0,0.776702573,4.752765531,3.976062958,3.976062958,511.9157704,5969937.381,10927.37018
86,83.0,JHAJJAR,6.0,HARYANA,Badli,6171.0,TEHSIL,RURAL,61815.0,SONDHI,HARYANA,HARYANA\Latest village boundary_HARYANA\HARYANA\HARYANA.shp,1812.0,2.203355687,13.46924332,11.26588763,11.26588763,511.3059002,5863476.819,11929.35394
87,373.0,DEOGARH,21.0,ODISHA,BARKOTE,6456.0,Tehsil,Rural,382848.0,BALANI,ODISHA,ODISHA\ODISHA.shp,83259.0,0.40442371,2.457316267,2.052892557,2.052892557,507.6093472,1825386.321,7420.861932
88,69.0,PANCHKULA,6.0,HARYANA,Raipur Rani,6157.0,TEHSIL,RURAL,57140.0,FIROZPUR,HARYANA,HARYANA\Latest village boundary_HARYANA\HARYANA\HARYANA.shp,6245.0,1.179304755,7.047337247,5.868032492,5.868032492,497.584061,2558744.173,7623.745276
89,667.0,AGAR MALWA,23.0,MADHYA PRADESH,BADOD,3517.0,TAHSIL,Rural,472396.0,SAWANI,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,22224.0,0.657901287,3.923938561,3.266037274,3.266037274,496.4327231,1125357.404,4745.752216
90,371.0,JHARSUGUDA,21.0,ODISHA,LAKHANPUR,6440.0,Tehsil,Rural,381065.0,SAHAJABAHAL,ODISHA,ODISHA\ODISHA.shp,69460.0,0.839385381,5.00573677,4.166351389,4.166351389,496.3573926,5183308.259,14713.0762
91,41.0,LUDHIANA,3.0,PUNJAB,LUDHIANA EAST,227.0,TEHSIL,RURAL,33432.0,BAUNKRAN,PUNJAB,PUNJAB\PUNJAB.shp,1645.0,2.448586427,14.47967543,12.03108901,12.03108901,491.34835,2334770.142,7667.854689
92,463.0,SINGRAULI,23.0,MADHYA PRADESH,MADA,6825.0,TAHSIL,Rural,503899.0,BANDHAURA,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,10029.0,6.19345856,36.49039852,30.29693996,30.29693996,489.1764377,4894639.561,11390.24447
93,382.0,JAJPUR,21.0,ODISHA,DANAGADI,6566.0,Tehsil,Rural,400597.0,GODIGOTHA,ODISHA,ODISHA\ODISHA.shp,97452.0,2.925379311,16.86470332,13.93932401,13.93932401,476.4962941,3336327.975,8930.773916
94,73.0,KAITHAL,6.0,HARYANA,Dhand ST,,SUB TEHSIL,RURAL,58980.0,SALEMPUR MADUD,HARYANA,HARYANA\Latest village boundary_HARYANA\HARYANA\HARYANA.shp,3493.0,0.970954537,5.589473944,4.618519408,4.618519408,475.6679364,4305066.061,11528.52138
95,375.0,KEONJHAR,21.0,ODISHA,BARBIL,6475.0,Tehsil,Rural,385263.0,KASIA(KA),ODISHA,ODISHA\ODISHA.shp,58133.0,1.612206982,9.28008372,7.667876737,7.667876737,475.6136663,2990140.632,7681.477338
96,425.0,CHHATARPUR,23.0,MADHYA PRADESH,RAJNAGAR,3430.0,TAHSIL,Rural,458020.0,Garha,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,54411.0,1.127442369,6.479592562,5.352150193,5.352150193,474.7160778,6629942.143,15169.42895
97,445.0,SEHORE,23.0,MADHYA PRADESH,REHTI,3589.0,TAHSIL,Rural,483570.0,Digwad,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,17477.0,0.739711985,4.248730647,3.509018662,3.509018662,474.3763427,7375589.073,16359.21164
98,435.0,UJJAIN,23.0,MADHYA PRADESH,UJJAIN,3513.0,TAHSIL,Rural,471947.0,Gaowdi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,30405.0,1.154982307,6.618543726,5.463561419,5.463561419,473.0428672,5853520.124,13258.80418
99,384.0,ANGUL,21.0,ODISHA,TALCHER,6585.0,Tehsil,Rural,404026.0,BADAGURUJANGULI,ODISHA,ODISHA\ODISHA.shp,80124.0,3.262082293,18.5661273,15.304045,15.304045,469.1495685,688742.8267,4108.501189
100,448.0,HARDA,23.0,MADHYA PRADESH,TIMARNI,3610.0,TAHSIL,Rural,486957.0,JHADTALAI,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,13539.0,0.567579036,3.225155763,2.657576727,2.657576727,468.2302475,6852580.223,14117.28949
